CODICE_VIA,STATO,TIPO,DENOMINAZIONE,DATA_INTITOLAZIONE,ANNO_SOPPRESSIONE,DESCRITTIVO,ANNCSU,OPENSTREETMAP,PROGANNCSU
7356,2,1,CONCILIO VATICANO II,,0,CONCILIO VATICANO SECONDO,CONCILIO VATICANO SECONDO,CONCILIO VATICANO SECONDO,
7357,3,1,CAPO RIZZUTO,19701231,2007,CAPO RIZZUTO,CAPO RIZZUTO,CAPO RIZZUTO,
7358,2,1,LANDOLFO II DA CARCANO,,0,LANDOLFO II DA CARCANO,LANDOLFO SECONDO DA CARCANO,LANDOLFO SECONDO DA CARCANO,
7359,2,1,BUZZATI DINO,19911126,0,DINO BUZZATI,DINO BUZZATI,DINO BUZZATI,
7360,2,1,TORRAZZA,,0,TORRAZZA,TORRAZZA,TORRAZZA,
7361,2,1,JONA EMANUELE,19290327,0,EMANUELE JONA,EMANUELE JONA,EMANUELE JONA,
7362,2,1,CALANDRA DAVIDE,,0,DAVIDE CALANDRA,DAVIDE CALANDRA,DAVIDE CALANDRA,
7363,2,1,BUSTO ARSIZIO,19290327,0,BUSTO ARSIZIO,BUSTO ARSIZIO,BUSTO ARSIZIO,
7364,2,1,PARABIAGO,19301002,0,PARABIAGO,PARABIAGO,PARABIAGO,
7365,2,1,BOLLA,19290327,0,BOLLA,BOLLA,BOLLA,
7366,2,1,MELATO MARIA,,0,MARIA MELATO,MARIA MELATO,MARIA MELATO,
7367,2,1,TRILUSSA,,0,TRILUSSA,TRILUSSA,TRILUSSA,
7368,2,1,SIMONI RENATO,,0,RENATO SIMONI,RENATO SIMONI,RENATO SIMONI,
7369,2,1,LOPEZ SABATINO,,0,SABATINO LOPEZ,SABATINO LOPEZ,SABATINO LOPEZ,
7370,2,1,CEFALU',,0,CEFALU',CEFALU',CEFALU',
7371,2,1,SERRETTA ENRICO,,0,ENRICO SERRETTA,ENRICO SERRETTA,ENRICO SERRETTA,
7372,2,21,CAVAZZI DELLA SOMAGLIA GIAN GIACOMO,,0,GIAN GIACOMO CAVAZZI DELLA SOMAGLIA,GIAN GIACOMO CAVAZZI DELLA SOMAGLIA,GIAN GIACOMO CAVAZZI DELLA SOMAGLIA,
7373,2,1,PUNTA LICOSA,19710325,0,PUNTA LICOSA,PUNTA LICOSA,PUNTA LICOSA,
7374,2,1,VERATTI LUIGI,19660114,0,LUIGI VERATTI,LUIGI VERATTI,LUIGI VERATTI,
7375,2,1,MARZABOTTO,,0,MARZABOTTO,MARZABOTTO,MARZABOTTO,
7376,2,1,BORGESE GIUSEPPE ANTONIO,19660114,0,GIUSEPPE ANTONIO BORGESE,GIUSEPPE ANTONIO BORGESE,GIUSEPPE ANTONIO BORGESE,
7377,2,1,ALBERTINI ALFREDO,19660117,0,ALFREDO ALBERTINI,ALFREDO ALBERTINI,ALFREDO ALBERTINI,
7378,2,1,BIZZOZZERO LUIGI,19660107,0,LUIGI BIZZOZZERO,LUIGI BIZZOZZERO,LUIGI BIZZOZZERO,
7379,2,1,NORCIA,19710324,0,NORCIA,NORCIA,NORCIA,
7380,2,1,NICCODEMI DARIO,19510313,0,DARIO NICCODEMI,DARIO NICCODEMI,DARIO NICCODEMI,
7381,2,1,DAL RE MARCANTONIO,19280518,0,MARCANTONIO DAL RE,MARCANTONIO DAL RE,MARCANTONIO DAL RE,
7382,2,1,CASELLA GIOVANNI BATTISTA,19280518,0,GIOVANNI BATTISTA CASELLA,GIOVANNI BATTISTA CASELLA,GIAN BATTISTA CASELLA,
